"FCH4","TA","WTD","VPD","GPP_PI_F_NT_gC","SO4_pred_interp","TP_interp","DOC_interp","NH4_N_interp","NO3_NO2_N_interp","pH_interp","site"
NA,-1.59858867350747,NA,3.10023295879364,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,0.78302279052635,NA,5.15854224935174,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,5.13479325423638,NA,5.46810380121072,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,4.90099685457018,NA,3.40274022685157,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,8.42331290695195,NA,7.51667127013206,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,2.43002022210082,NA,2.76941087841988,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,1.95414435180525,NA,3.07343177683651,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,3.97865219932535,NA,5.48264328357966,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,10.4095425121486,NA,9.09283599505822,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,7.14266623059909,NA,4.02760503937801,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,4.12450109173854,NA,3.8459710602959,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,3.15697883621518,NA,4.01931857814391,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,3.15072980228191,NA,4.57629938175281,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,3.93868479318917,NA,4.77831660894056,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,5.13416518530964,NA,5.13463897009691,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,5.06660179188475,NA,5.53764900316795,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,4.19437502324581,NA,4.11324508984884,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,5.68237471953034,NA,6.34940224078794,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,10.6095026503026,NA,11.5554095730186,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,14.4720826397339,NA,15.9084211637576,NA,653.91266025641,103.935809294872,43.291891025641,12.2500480769231,0.254575320512821,8.99004006410256,"Hogg"
NA,15.6781857212385,NA,13.9112291932106,NA,665.989583333333,102.824270833333,45.3995833333333,14.313125,0.590729166666667,8.94927083333333,"Hogg"
NA,14.8650639653206,NA,11.1433337926865,NA,678.066506410256,101.712732371795,47.5072756410256,16.3762019230769,0.926883012820513,8.9085016025641,"Hogg"
NA,14.8248766859372,NA,10.8110112026334,NA,690.143429487179,100.601193910256,49.6149679487179,18.4392788461538,1.26303685897436,8.86773237179487,"Hogg"
NA,18.5868946846495,NA,14.8144540152651,NA,702.220352564103,99.489655448718,51.7226602564103,20.5023557692308,1.59919070512821,8.82696314102564,"Hogg"
