"FCH4","TA","WTD","VPD","GPP_PI_F_NT_gC","SO4_pred_interp","TP_interp","DOC_interp","NH4_N_interp","NO3_NO2_N_interp","pH_interp","site"
NA,12.7768090565999,NA,7.14438147771926,NA,714.297275641026,98.3781169871795,53.8303525641026,22.5654326923077,1.93534455128205,8.78619391025641,"Hogg"
NA,NA,NA,NA,NA,726.374198717949,97.266578525641,55.9380448717949,24.6285096153846,2.2714983974359,8.74542467948718,"Hogg"
NA,13.0476661258274,NA,10.0988810857137,NA,738.451121794872,96.1550400641026,58.0457371794872,26.6915865384615,2.60765224358974,8.70465544871795,"Hogg"
0.568589301407337,4.37381126483281,NA,1.89745832979679,0.482411728013774,750.528044871795,95.0435016025641,60.1534294871795,28.7546634615385,2.94380608974359,8.66388621794872,"Hogg"
-3.53106993895311,2.5418218250076,NA,0.843529383235789,-0.528679104159772,762.604967948718,93.9319631410256,62.2611217948718,30.8177403846154,3.27995993589744,8.62311698717949,"Hogg"
-0.885756080922408,3.75887318700552,NA,1.46243513313433,1.41671637408239,774.681891025641,92.8204246794872,64.3688141025641,32.8808173076923,3.61611378205128,8.58234775641026,"Hogg"
1.55283546717837,8.10139763355255,NA,1.61596558398257,1.57031716345772,786.758814102564,91.7088862179487,66.4765064102564,34.9438942307692,3.95226762820513,8.54157852564103,"Hogg"
1.22617514475304,15.0291245778402,NA,6.34477236277113,1.86202873961355,798.835737179487,90.5973477564103,68.5841987179487,37.0069711538462,4.28842147435897,8.50080929487179,"Hogg"
-2.14289345562458,8.44585527728001,NA,1.97536322722832,2.22439141730244,817.992788461538,99.7670592948718,70.3036137820513,40.4529326923077,4.57034455128205,8.49280448717949,"Hogg"
-4.18295178446505,4.33902200513209,NA,4.20364314566056,2.87278664886475,844.53125,119.655520833333,71.6182291666667,45.340625,4.79572916666667,8.51895833333333,"Hogg"
0.485421680948801,5.87743670120835,NA,5.62524924551447,2.47408661730212,871.069711538462,139.543982371795,72.932844551282,50.2283173076923,5.02111378205128,8.54511217948718,"Hogg"
-2.51377502998168,10.850335277617,NA,7.64679876963298,2.19229983483893,897.608173076923,159.432443910256,74.2474599358974,55.1160096153846,5.2464983974359,8.57126602564103,"Hogg"
-1.0276263930062,14.8420009513696,NA,9.11291808759173,2.37466670290826,924.146634615385,179.320905448718,75.5620753205128,60.0037019230769,5.47188301282051,8.59741987179487,"Hogg"
-2.18429838235562,10.8083546062311,219.604166666667,5.41515582054853,2.35753845441265,950.685096153846,199.209366987179,76.8766907051282,64.8913942307692,5.69726762820513,8.62357371794872,"Hogg"
-1.16487602761814,14.7160617609819,217.270833333333,12.9784604016071,2.08723265106377,977.223557692308,219.097828525641,78.1913060897436,69.7790865384615,5.92265224358974,8.64972756410256,"Hogg"
1.85819000147638,18.1137917836507,216.493310397554,13.5669406354427,1.97950082294916,1003.76201923077,238.986290064103,79.505921474359,74.6667788461538,6.14803685897436,8.67588141025641,"Hogg"
-14.5374334295591,20.3000208040078,218.81995412844,16.112929067264,2.9161496293028,1030.30048076923,258.874751602564,80.8205368589744,79.5544711538462,6.37342147435897,8.70203525641026,"Hogg"
-3.08062490668052,24.435104171435,220.251146788991,18.9708067625761,2.61688092873961,1056.83894230769,278.763213141026,82.1351522435897,84.4421634615385,6.59880608974359,8.7281891025641,"Hogg"
-0.702056976407766,24.436020453771,221.682339449541,19.4894579946995,2.43084013409792,1083.37740384615,298.651674679487,83.4497676282051,89.3298557692308,6.82419070512821,8.75434294871795,"Hogg"
-3.97408806455546,23.6235208113988,223.113532110092,20.5243246754011,2.70704997079244,1109.91586538462,318.540136217949,84.7643830128205,94.2175480769231,7.04957532051282,8.78049679487179,"Hogg"
-2.04640916760626,18.5050843556722,224.544724770642,10.8176430265109,1.19237732509643,1136.45432692308,338.42859775641,86.0789983974359,99.1052403846154,7.27495993589744,8.80665064102564,"Hogg"
-0.496258610061237,14.1519590516885,225.975917431193,6.21895936131477,2.14787573701369,1139.36904761905,339.346458333333,86.045,99.3982738095238,7.13156994047619,8.81510416666667,"Hogg"
1.57918464296903,20.128688176473,227.407110091743,13.8835833867391,2.68957415681653,1117.65476190476,320.486458333333,84.605,94.901130952381,6.60371279761905,8.80510416666667,"Hogg"
8.38514320958744,15.622210820516,228.838302752294,2.62233596295118,0.14059846968665,1095.94047619048,301.626458333333,83.165,90.4039880952381,6.0758556547619,8.79510416666667,"Hogg"
-2.22268547448847,15.3546657562256,230.269495412844,2.43056608379508,3.28699233855978,1074.22619047619,282.766458333333,81.725,85.9068452380952,5.54799851190476,8.78510416666667,"Hogg"
2.62243325710297,15.3236071268717,289.416666666667,1.22088626461724,-0.266351931707114,1052.5119047619,263.906458333333,80.285,81.4097023809524,5.02014136904762,8.77510416666667,"Hogg"
3.20067662849676,17.8671652475993,335.052083333333,10.0582983568311,3.35565236261744,1030.79761904762,245.046458333333,78.845,76.9125595238095,4.49228422619048,8.76510416666667,"Hogg"
0.535103596746922,18.40691502889,333.90625,10.7958199977875,3.9892613341653,1009.08333333333,226.186458333333,77.405,72.4154166666667,3.96442708333333,8.75510416666667,"Hogg"
-5.64984838912884,19.9151051839193,333.15625,13.2306395933653,4.11172799584671,987.369047619048,207.326458333333,75.965,67.9182738095238,3.43656994047619,8.74510416666667,"Hogg"
2.44595567026037,21.0791257222493,331.666666666667,13.8186392088731,4.54986943151379,965.654761904762,188.466458333333,74.525,63.4211309523809,2.90871279761905,8.73510416666667,"Hogg"
0.792371428393303,21.5362923940023,329.03125,13.4883805016677,4.46800358174467,943.940476190476,169.606458333333,73.085,58.9239880952381,2.3808556547619,8.72510416666667,"Hogg"
0.815671810194066,18.4035396575928,323.791666666667,12.5760421405236,4.01307668595627,922.22619047619,150.746458333333,71.645,54.4268452380952,1.85299851190476,8.71510416666667,"Hogg"
0.149758366539198,14.1028340657552,326.34375,4.83809734756748,3.85304724847997,900.511904761905,131.886458333333,70.205,49.9297023809524,1.32514136904762,8.70510416666667,"Hogg"
1.32366941263899,15.5359376271566,327.458333333333,5.17978728190064,4.74155765093968,878.797619047619,113.026458333333,68.765,45.4325595238095,0.797284226190476,8.69510416666667,"Hogg"
-5.51892103698659,12.7049592236678,321.4375,5.44785694653789,4.32561441808677,857.083333333333,94.1664583333334,67.325,40.9354166666667,0.269427083333333,8.68510416666667,"Hogg"
1.07704873101131,11.3277287781239,312.697916666667,6.40734274685383,5.25473880850234,852.784226190476,87.5093229166667,67.2565327380952,38.2486830357143,0.573511904761905,8.66845982142857,"Hogg"
-1.07358604504002,18.2037728627523,309.6875,12.4939673344294,5.0194289871515,866.641369047619,93.5743229166667,68.6179613095238,37.4493973214286,1.74494047619048,8.64488839285714,"Hogg"
-1.92675093561411,19.3723951975505,311.666666666667,9.52882685263952,4.79843516301638,880.498511904762,99.6393229166667,69.9793898809524,36.6501116071429,2.91636904761905,8.62131696428571,"Hogg"
-2.0326073512435,17.2303117116292,309.572916666667,8.92839433749517,5.72214968036926,894.355654761905,105.704322916667,71.340818452381,35.8508258928571,4.08779761904762,8.59774553571429,"Hogg"
2.38933662788288,18.6522686481476,309.572916666667,8.70733174047572,6.64131372734677,908.212797619048,111.769322916667,72.7022470238095,35.0515401785714,5.25922619047619,8.57417410714286,"Hogg"
-1.61082793997996,19.6368764241536,312.354166666667,8.73528053363164,5.2451902379179,922.06994047619,117.834322916667,74.0636755952381,34.2522544642857,6.43065476190476,8.55060267857143,"Hogg"
-0.956945034173819,18.1543121337891,322.385416666667,4.93908944974343,5.61226548215141,935.927083333333,123.899322916667,75.4251041666667,33.45296875,7.60208333333333,8.52703125,"Hogg"
-1.0609701325496,18.4537296295166,310.645833333333,8.13738108146936,6.24363773174246,949.784226190476,129.964322916667,76.7865327380952,32.6536830357143,8.7735119047619,8.50345982142857,"Hogg"
-0.507620579723654,21.048791885376,307.947916666667,10.0846500694752,6.66351173512557,963.641369047619,136.029322916667,78.1479613095238,31.8543973214286,9.94494047619047,8.47988839285714,"Hogg"
-1.66534328227863,23.1389802296956,305.46875,11.4730191975832,7.47117590376708,977.498511904762,142.094322916667,79.5093898809524,31.0551116071429,11.116369047619,8.45631696428571,"Hogg"
0.467055447399616,23.1653970082601,295.708333333333,14.0801408588886,8.26007548205405,991.355654761905,148.159322916667,80.870818452381,30.2558258928571,12.2877976190476,8.43274553571429,"Hogg"
1.94760933765319,24.9495207468669,291.697916666667,16.1320292254289,8.06644591687095,1005.21279761905,154.224322916667,82.2322470238095,29.4565401785714,13.4592261904762,8.40917410714286,"Hogg"
4.47715726656758,24.5488319396973,290.208333333333,12.6398463745912,7.88604323142797,1019.06994047619,160.289322916667,83.5936755952381,28.6572544642857,14.6306547619048,8.38560267857143,"Hogg"
3.02513792565683,22.9313767751058,285.697916666667,11.2076041499774,7.8875807466225,1032.92708333333,166.354322916667,84.9551041666667,27.85796875,15.8020833333333,8.36203125,"Hogg"
-1.43290454009548,17.8051071166992,281.333333333333,5.2732649606963,4.58616164523035,1045.59523809524,171.112485119048,86.1665104166667,29.3090178571429,16.2289955357143,8.36328869047619,"Hogg"
2.55437900366322,12.1468753814697,278.270833333333,4.2345770187676,5.04863214309552,1057.02380952381,174.508199404762,87.2215104166667,33.1061607142857,15.8797098214286,8.39043154761905,"Hogg"
-1.53536020384894,13.0783556600412,273.302083333333,5.43333046743646,7.64705231607905,1068.45238095238,177.903913690476,88.2765104166667,36.9033035714286,15.5304241071429,8.4175744047619,"Hogg"
1.44206124642178,17.7499370574951,278.65625,6.63771059115728,8.93911040784319,1079.88095238095,181.29962797619,89.3315104166667,40.7004464285714,15.1811383928571,8.44471726190476,"Hogg"
-2.03127028473786,20.54563164711,278.583333333333,10.3016914122916,7.16736556034807,1091.30952380952,184.695342261905,90.3865104166667,44.4975892857143,14.8318526785714,8.47186011904762,"Hogg"
-3.48323287069798,22.8922322591146,274.510416666667,14.0139723519484,8.11244105625647,1102.7380952381,188.091056547619,91.4415104166667,48.2947321428571,14.4825669642857,8.49900297619048,"Hogg"
-4.97710452348955,23.5615680615107,272.875,14.8818734465761,8.50069434016704,1114.16666666667,191.486770833333,92.4965104166667,52.091875,14.13328125,8.52614583333333,"Hogg"
0.653286368616166,20.1672089894613,262.625,8.85976277415951,8.64402643322137,1125.59523809524,194.882485119048,93.5515104166667,55.8890178571429,13.7839955357143,8.55328869047619,"Hogg"
-1.54006672302882,18.6809399922689,254.3125,7.68754211316506,8.26071687039837,1137.02380952381,198.278199404762,94.6065104166667,59.6861607142857,13.4347098214286,8.58043154761905,"Hogg"
2.09546510097773,18.6214416027069,266.6875,6.52597737830618,10.5039227715939,1148.45238095238,201.673913690476,95.6615104166667,63.4833035714286,13.0854241071429,8.60757440476191,"Hogg"
0.189762194752693,20.6764812469482,277.145833333333,10.6178139013549,8.41092996845198,1159.88095238095,205.06962797619,96.7165104166667,67.2804464285714,12.7361383928571,8.63471726190476,"Hogg"
3.64721233362243,22.8511892954508,275.447916666667,10.6231714785099,10.5783695201032,1171.30952380952,208.465342261905,97.7715104166667,71.0775892857143,12.3868526785714,8.66186011904762,"Hogg"
3.92841225663821,22.384604771932,275.333333333333,9.31542128448685,6.57344994598429,1182.7380952381,211.861056547619,98.8265104166667,74.8747321428571,12.0375669642857,8.68900297619048,"Hogg"
3.87010007159364,24.2577684720357,266.666666666667,8.61353292617392,10.672281492279,1194.16666666667,215.256770833333,99.8815104166667,78.671875,11.68828125,8.71614583333333,"Hogg"
5.48291932774145,18.5920213063558,269.1875,3.51256000250578,7.98105689263353,1209.09226190476,215.507611607143,101.156822916667,79.1471949404762,11.9111086309524,8.74573660714286,"Hogg"
6.60989097754161,18.1904996236165,314.760416666667,1.60284811258316,3.3902200478586,1227.66369047619,212.479754464286,102.661822916667,76.159337797619,12.7303943452381,8.77787946428571,"Hogg"
7.10351120798211,21.4729385375977,284.947916666667,4.9311344002684,7.78208532340501,1246.23511904762,209.451897321429,104.166822916667,73.1714806547619,13.5496800595238,8.81002232142857,"Hogg"
0.976726113395257,22.685312906901,266.96875,5.5842309097449,10.8119632995805,1264.80654761905,206.424040178571,105.671822916667,70.1836235119048,14.3689657738095,8.84216517857143,"Hogg"
1.72573261005538,20.9318758646647,238.40625,10.8599338630835,11.7020491029562,1283.37797619048,203.396183035714,107.176822916667,67.1957663690476,15.1882514880952,8.87430803571429,"Hogg"
2.84050455093384,19.0045827229818,233.75,11.8243396182855,11.3526207310392,1301.9494047619,200.368325892857,108.681822916667,64.2079092261905,16.007537202381,8.90645089285714,"Hogg"
2.9028304024703,19.5199387868245,225.96875,12.2416924784581,10.5891814637573,1320.52083333333,197.34046875,110.186822916667,61.2200520833333,16.8268229166667,8.93859375,"Hogg"
-1.92292552471161,19.0389385223389,242.5,8.90506122012933,9.19016683973497,1339.09226190476,194.312611607143,111.691822916667,58.2321949404762,17.6461086309524,8.97073660714286,"Hogg"
5.89792861179872,20.8304576873779,225.552083333333,10.8775627973179,11.6726771462624,1357.66369047619,191.284754464286,113.196822916667,55.244337797619,18.4653943452381,9.00287946428571,"Hogg"
-1.27498091906309,21.7980429331462,214.520833333333,12.1210521608591,9.08741260808498,1376.23511904762,188.256897321429,114.701822916667,52.2564806547619,19.2846800595238,9.03502232142857,"Hogg"
4.91774562481911,19.294729868571,207.03125,10.4369795933987,11.9916558039604,1394.80654761905,185.229040178571,116.206822916667,49.2686235119048,20.1039657738095,9.06716517857143,"Hogg"
2.87492905608539,20.2410818735758,207.15625,10.7218938594063,10.0521661495362,1413.37797619048,182.201183035714,117.711822916667,46.2807663690476,20.9232514880952,9.09930803571429,"Hogg"
