,GPP_f,Reco,SWIN_1_1_1,VPD.x,air_p_mean,TS_2_1_1,WTD,LE_f,FCH4,TDP_interp,SO4_interp
131,16.86693941,7.944769407,474.158,3120.97,95065.8,25.961,138.0,350.353,0.00942418,92.08656994,1424.984375
132,10.98916199,7.841301992,279.962,2820.13,95055.6,25.853,140.0,240.205,0.0184383,92.100625,1424.5625
133,9.594713271,7.691343271,221.04,2480.28,95058.3,25.824,149.0,151.771,999.0,92.11468006,1424.140625
134,7.346567201,7.659578773,142.387,2252.25,95049.7,25.482,158.0,71.7042,999.0,92.12873512,1423.71875
135,7.667376201,7.648364076,149.056,2110.05,95036.4,25.07,161.0,61.6684,-0.0011239,92.14279018,1423.296875
136,6.350587221,7.563107221,94.701,2015.81,95018.1,24.907,164.0,31.6727,0.00127023,92.15684524,1422.875
137,4.0576753,7.2609753,30.5387,1774.32,95001.4,24.314,170.0,35.81215,999.0,92.1709003,1422.453125
138,2.778584686,7.049148019,17.7366,1577.58,94998.1,23.732,176.0,21.621525,999.0,92.18495536,1422.03125
139,1.864036903,6.785994176,3.49622,1203.12,94992.8,23.287,180.5,16.1364,0.187703,92.19901042,1421.609375
140,1.29459948,6.60402848,-1.88288,934.023,94994.6,22.887,185.0,19.44707565,999.0,92.21306548,1421.1875
141,1.257655875,6.532498602,-1.22771,873.51,94988.3,22.548,189.5,7.39654,0.00557314,92.22712054,1420.765625
142,1.489920685,6.405115168,-0.93495,737.024,94977.4,22.249,194.0,16.17432719,999.0,92.2411756,1420.34375
143,1.568578094,6.262238364,-1.38248,553.606,94956.3,21.987,201.5,12.17891775,999.0,92.25523065,1419.921875
144,1.547978086,6.292775586,0.115271,636.669,94922.6,21.737,209.0,12.38256179,999.0,92.26928571,1419.5
145,1.374667481,6.189295259,-0.485398,500.123,94899.1,21.511,214.0,12.58553473,999.0,92.28334077,1419.078125
146,1.337886533,6.141044831,-0.444888,454.081,94880.8,21.31,219.0,12.26076811,999.0,92.29739583,1418.65625
147,1.296641347,6.11194026,-0.34921,455.811,94856.6,21.12,224.0,12.28898604,999.0,92.31145089,1418.234375
148,1.301343831,6.190293366,0.484598,510.963,94839.2,20.942,229.0,12.60315012,999.0,92.32550595,1417.8125
149,1.32803349,6.121636671,-0.661161,451.942,94811.1,20.794,233.0,12.1458855,999.0,92.33956101,1417.390625
150,1.43338184,6.2425813,0.716156,614.316,94782.6,20.665,237.0,13.41396256,999.0,92.35361607,1416.96875
151,1.257791116,6.191822307,-0.228154,614.712,94757.9,20.543,236.5,12.78780767,999.0,92.36767113,1416.546875
152,1.377241513,6.333804013,0.608105,834.499,94733.6,20.416,236.0,23.1569,0.015336,92.38172619,1416.125
153,2.654828486,6.271938486,-1.10547,788.493,94702.0,20.31,231.0,17.655,999.0,92.39578125,1415.703125
154,-0.013348405,6.195551595,-1.21566,738.362,94672.5,20.211,226.0,17.6422,0.00312927,92.40983631,1415.28125
155,0.884187757,6.058845629,-2.09939,618.073,94670.3,20.075,226.0,12.96468919,999.0,92.42389137,1414.859375
156,-0.024211033,5.874742301,-1.60482,456.497,94678.2,19.822,226.0,10.79825358,999.0,92.43794643,1414.4375
157,-0.091271052,5.839413234,0.402362,447.787,94692.8,19.521,227.0,7.72249,0.00181727,92.45200149,1414.015625
158,1.142361793,5.851541793,13.4716,483.711,94704.6,19.357,228.0,14.9582,0.00330817,92.46605655,1413.59375
159,0.548104303,5.933294303,30.5879,522.747,94713.5,19.338,230.0,22.7992,0.0210194,92.48011161,1413.171875
160,3.423868958,5.953278958,31.215,517.451,94710.8,19.336,232.0,12.9114,0.00246847,92.49416667,1412.75
161,3.27675031,5.96659031,30.8222,514.805,94700.8,19.295,232.5,4.41607,-0.0017487,92.50822173,1412.328125
162,2.646658397,6.113801797,57.2669,595.449,94669.3,19.319,233.0,18.70732176,999.0,92.52227679,1411.90625
163,4.651867853,6.211667853,115.538,635.44,94674.5,19.444,203.5,42.7715,999.0,92.53633185,1411.484375
164,11.5331634,6.359673404,164.538,756.551,94679.7,19.754,174.0,62.6397,0.0206002,92.5503869,1411.0625
165,9.139398741,6.346758741,209.746,806.518,94676.8,20.109,157.0,87.6651,999.0,92.56444196,1410.640625
166,16.11066725,6.486907248,353.052,947.351,94645.3,20.588,140.0,158.115,0.000809869,92.57849702,1410.21875
167,17.56195049,6.794150493,426.442,1240.33,94645.3,21.29,137.0,232.465,999.0,92.59255208,1409.796875
168,14.27375182,6.901008483,324.352,1328.89,94643.3,21.939,134.0,149.6063222,999.0,92.60660714,1409.375
169,17.41277671,6.980376709,439.814,1366.16,94646.9,22.357,132.0,228.875,0.000373578,92.6206622,1408.953125
170,21.64482627,6.971126268,506.126,1304.7,94657.7,22.755,130.0,229.852,-0.00559234,92.63471726,1408.53125
171,23.09026647,7.018766468,694.821,1328.38,94646.7,23.444,129.5,286.281,-0.00317942,92.64877232,1408.109375
172,21.6764869,7.122186903,665.874,1329.02,94647.8,24.402,129.0,270.06,0.00222446,92.66282738,1407.6875
173,18.34770314,6.991703142,550.205,1164.21,94654.6,24.895,130.5,253.923,0.00673667,92.67688244,1407.265625
174,17.22858563,6.814285628,414.786,987.601,94676.4,25.028,132.0,206.604,-0.00157108,92.6909375,1406.84375
175,12.18405371,6.636993714,221.672,852.402,94693.7,25.128,133.5,161.484,0.00291354,92.70499256,1406.421875
176,11.16270011,6.539970106,216.171,807.661,94719.9,24.531,135.0,139.949,0.000122865,92.71904762,1406.0
177,13.93209808,6.577568081,338.336,831.057,94722.7,24.362,134.0,141.899,0.00556376,92.73310268,1405.578125
178,21.34113971,6.687239714,543.974,919.302,94712.8,24.668,133.0,237.935,0.00646674,92.74715774,1405.15625
179,13.55756284,6.576252843,309.692,792.804,94707.2,24.835,135.0,153.549,0.0052061,92.7612128,1404.734375
180,14.38460193,6.568561927,312.63,784.666,94705.8,24.585,137.0,126.436,0.00811648,92.77526786,1404.3125
181,6.824354576,6.473464576,146.269,711.833,94712.2,24.104,140.0,89.583,0.0142014,92.78932292,1403.890625
182,2.969044295,6.379174295,45.0418,626.908,94717.7,23.494,143.0,43.2583,0.00856443,92.80337798,1403.46875
183,2.493720783,6.290400783,24.2768,501.816,94721.8,23.009,149.5,18.8374,0.0048638,92.81743304,1403.046875
184,1.437741188,6.169761188,16.5285,376.134,94716.0,22.584,156.0,12.7009,-0.00366239,92.8314881,1402.625
185,2.237380099,6.032270099,8.77743,252.721,94716.6,22.273,163.5,8.72419,999.0,92.84554315,1402.203125
186,1.761523403,6.045523403,11.3603,264.554,94716.7,21.941,171.0,10.2153,0.00850873,92.85959821,1401.78125
187,0.573683908,6.036013908,1.74767,243.305,94747.4,21.637,179.0,4.7929,0.0135745,92.87365327,1401.359375
